id,x_peak,y_peak,peak_value
470,4274,8973,1194.2782
471,6429,8975,1074.4269
472,6466,8976,6270.798
473,6466,8985,6270.3374
474,8551,8986,1150.4547
475,4274,8994,1183.3485
476,6429,8994,1093.8625
477,8551,8994,1175.6002
478,8581,8995,6620.329
479,6466,8998,6170.0215
480,10638,9000,2492.7625
481,10585,9002,1197.566
482,8551,9003,1147.7524
483,10528,9003,1220.7867
484,10469,9004,1190.5503
485,10412,9005,1214.5131
486,6429,9006,1076.4038
487,10359,9006,1208.2158
488,10296,9007,1208.4043
489,2214,9008,6265.393
490,7094,9008,1469.3131
491,10240,9008,1199.613
492,10183,9009,1201.6919
493,10125,9010,1208.394
494,10066,9011,1207.6301
495,10004,9012,1188.068
496,6466,9013,6212.0063
497,9949,9013,1187.5369
498,6429,9014,1092.7334
499,9885,9014,1181.9762
500,9825,9015,1196.5222
501,9766,9016,1191.2423
502,9702,9017,1186.4623
503,8551,9018,2160.0752
504,9640,9018,1195.9458
505,540,9019,10928.006
506,9578,9019,1178.9977
507,9520,9020,1173.591
508,6466,9021,6176.0176
509,9458,9021,1189.4458
510,8284,9022,1202.129
511,8581,9022,8384.786
512,9393,9022,1183.862
513,5662,9023,1446.0997
514,8592,9023,6166.7866
515,8609,9023,6541.0737
516,9330,9023,1182.2941
517,2414,9024,1728.4227
518,9265,9024,1187.8448
519,6627,9025,1110.3918
520,7084,9025,1161.8124
521,9198,9025,1177.6829
522,9137,9026,1173.7134
523,6429,9027,1069.5664
524,9068,9027,1174.3389
525,3474,9028,1055.7299
526,9000,9028,1185.3678
527,8551,9029,2005.7667
528,8934,9029,1190.1917
529,8868,9030,1161.4637
530,8797,9031,1177.5537
531,8495,9032,1147.7606
532,8634,9032,1302.8289
533,8727,9032,1185.0419
534,179,9033,1873.816
535,8429,9033,1157.291
536,8645,9033,1470.5963
537,8660,9033,1178.0315
538,288,9034,1758.1307
539,2185,9034,1713.0492
540,8364,9034,1151.7107
541,400,9035,1760.9961
542,8294,9035,1145.7601
543,517,9036,1780.1892
544,8230,9036,1153.8375
545,638,9037,1744.2682
546,4298,9037,1721.7631
547,8155,9037,1129.6151
548,750,9038,1744.3624
549,8083,9038,1152.7849
550,868,9039,1749.0071
551,882,9039,1736.5808
552,8015,9039,1137.7853
553,998,9040,1739.1475
554,2215,9040,6560.0767
555,4272,9040,2360.549
556,7940,9040,1144.2676
557,1132,9041,1751.4238
558,7865,9041,1161.223
559,1261,9042,1736.5889
560,2267,9042,1113.0278
561,7792,9042,1156.5306
562,1398,9043,1740.8627
563,7718,9043,1143.0594
564,1545,9044,1736.248
565,7635,9044,1155.0304
566,1692,9045,1734.5153
567,4334,9045,12111.551
568,6466,9045,12381.392
569,7556,9045,1155.905
570,1841,9046,1737.542
571,6478,9046,10573.408
572,7475,9046,1137.5967
573,2006,9047,1724.2482
574,7395,9047,1143.2769
575,2185,9048,3256.6602
576,4069,9048,1060.5586
577,4346,9048,9803.586
578,4355,9048,3558.054
